FIRST NAME,LAST NAME,OTHER NAME,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,BIRTH CITY,BIRTH STATE,HOMETOWN CITY,HOMETOWN STATE,CURRENT RESIDENCE,CURRENT STATE,SCHOOL/COLLEGE
Brady,Ellison,,M,Archery,"Individual, Team","2008, 2012-S","5'11""",190,10/27/1988,Globe,Ariz.,Globe,Ariz.,Miami,Ariz. ,"Mountain Ridge High School (Glendale, Ariz) '07"
Zach,Garrett,,M,Archery,"Individual, Team",none,"5'10""",140,4/8/1995,Chula Vista,Calif.,Wellington,Mo. ,Chula Vista,Calif.,"Wellington-Napoleon High School (Wellington, Mo.) '13 "
Jake,Kaminski,,M,Archery,"Individual, Team",2012-S,"5'10""",155,8/11/1988,Buffalo,N.Y.,Gainesville,Fla. ,Bronson,Fla.,"Iroquois High School (Elma, N.Y.) '06"
Mackenzie,Brown,,F,Archery,Individual,none,"5'10""",165,3/14/1995,Tyler,Texas,Flint,Texas,Chula Vista,Calif. ,"Homeschooled (Tyler, Texas) '13"
Phillip,Chew,,M,Badminton,Doubles ,none,"5'8""",200,5/16/1994,Anaheim,Calif.,Orange,Calif.,Orange,Calif.,"University of California - Irvine '19, Business Economics"
Sattawat ,Pongnairat,,M,Badminton,Doubles,none,"5'11""",155,5/8/1990,New York,N.Y.,Orange,Calif. ,Orange,Calif. ,"Taweethapisek High School (Bangkok, Thailand)"
Howard ,Shu,,M,Badminton,Singles,none,"6'1""",165,11/28/1990,Los Alamitos,Calif.,Los Angeles,Calif. ,Anaheim,Calif.,"University of California - Los Angeles '13, Business Economics"
Eva,Lee,,F,Badminton,Doubles,2008,"5'6""",130,8/7/1986,Hong Kong,China,Diamond Bar,Calif.,Diamond Bar,Calif. ,"University of California - Irvine '13, Biological Sciences"
Paula Lynn,Obanana,,F,Badminton,Doubles,none,"5'3""",128,3/19/1985,Dumaguete City,Philippines,Minneapolis-St. Paul,Minn.,West Covina,Calif. ,"La Salle University, Taft (Manila, Philippines) '06, Mass Media "
Jamie,Subandhi,,F,Badminton,Mixed Doubles,none,"5'4""",128,12/15/1989,Long Beach,Calif. ,Westminster,Calif.,Westminster,Calif. ,"University of California - Los Angeles '11, Physiological Science"
Iris,Wang,,F,Badminton,Singles,none,"5'3""",115,9/2/1994,Pasadena,Calif.,Arcadia,Calif.,Arcadia,Calif. ,"University of California - Los Angeles '19, Business Economics"
Carmelo,Anthony,,M,Basketball,Forward,"2004-B, 2008-G, 2012-G","6'8""",230,5/29/1984,New York,N.Y.,New York,N.Y.,New York,N.Y. ,Syracuse University
Harrison,Barnes,,M,Basketball,Forward,none,"6'8""",225,5/30/1992,Ames,Iowa,Ames,Iowa,Dallas,Texas,University of North Carolina
Jimmy,Butler,,M,Basketball,Guard,none,"6'7""",220,9/14/1989,Houston,Texas,Houston,Texas,Chicago,Ill. ,Marquette University
DeMarcus,Cousins,,M,Basketball,Center,none,"6'11""",270,8/13/1990,Mobile,Ala. ,Mobile,Ala. ,Sacramento,Calif.,University of Kentucky
DeMar,DeRozan,,M,Basketball,Guard,none,"6'7""",220,8/7/1989,Bellflower,Calif.,Compton,Calif.,Toronto,Canada,University of Southern California
Kevin,Durant,,M,Basketball,Guard,2012-G,"6'9""",230,9/29/1988,"Washington, D.C. ",-,"Washington, D.C. ",-,Oakland,Calif.,University of Texas
Paul,George,,M,Basketball,Guard,none,"6'9""",220,5/2/1990,Palmdale,Calif. ,Palmdale,Calif.,Indianapolis,Ind.,Fresno State University
